1.453	6.465
1.461	5.915
1.461	5.915
1.468	5.914
1.476	5.618
1.494	5.617
1.494	5.745
1.504	5.778
1.504	6.086
1.511	5.660
1.511	6.085
1.515	6.003
1.516	5.653
1.523	6.003
1.523	5.766
1.530	5.736
1.537	5.558
1.541	5.547
1.544	5.796
1.547	5.641
1.566	5.653
1.566	5.908
1.572	5.914
1.575	5.520
1.578	5.517
1.578	5.742
1.583	5.778
1.589	5.778
1.594	5.742
1.608	5.681
1.608	5.745
1.615	5.677
1.619	5.790
1.623	5.624
1.628	5.487
1.631	5.487
1.634	5.588
1.639	5.596
1.639	5.638
1.643	5.641
1.643	5.475
1.656	5.481
1.656	5.653
1.663	5.659
1.670	6.098
