1.174	0.086
1.414	2.159
1.421	2.136
1.428	2.139
1.433	2.088
1.440	2.058
1.456	2.008
1.463	1.992
1.470	1.972
1.477	1.942
1.484	1.891
1.491	1.795
1.498	1.742
1.505	1.699
1.511	1.677
1.518	1.699
1.525	1.730
1.532	1.725
1.539	1.722
1.546	1.732
1.553	1.732
1.560	1.720
1.567	1.717
1.574	1.707
1.581	1.725
1.588	1.740
1.595	1.813
1.602	1.843
1.609	1.846
1.616	1.864
1.623	1.874
1.630	1.879
1.637	1.808
1.644	1.773
1.651	1.763
1.658	1.768
1.665	1.785
1.672	1.889
1.679	1.889
1.686	1.970
1.693	1.975
1.700	1.982
1.707	1.997
1.714	2.005
1.721	2.020
1.728	2.003
1.734	2.003
1.741	2.015
1.748	2.003
1.755	2.003
1.762	1.990
1.769	1.980
1.776	1.995
1.783	1.997
1.790	1.992
1.797	1.990
1.804	1.995
1.891	1.914
1.898	1.894
1.905	1.826
1.912	1.780
1.919	1.735
1.926	1.707
1.933	1.659
1.940	1.636
1.947	1.621
1.954	1.601
1.961	1.556
1.968	1.518
1.975	1.487
1.982	1.490
1.989	1.492
1.996	1.490
2.003	1.467
2.010	1.480
2.017	1.402
2.024	1.437
2.031	1.437
2.038	1.419
2.045	1.419
2.052	1.444
2.059	1.455
2.066	1.427
2.072	1.444
2.079	1.455
2.086	1.472
2.093	1.492
2.100	1.513
2.107	1.551
2.114	1.566
2.121	1.611
2.128	1.631
2.135	1.662
2.142	1.692
2.149	1.712
2.156	1.747
2.163	1.750
2.170	1.788
2.177	1.765
2.184	1.763
2.191	1.760
2.198	1.768
2.205	1.808
2.212	1.813
2.219	1.831
2.226	1.816
2.233	1.811
2.240	1.823
2.247	1.833
2.254	1.823
2.261	1.836
2.268	1.838
2.275	1.826
2.282	1.813
2.289	1.793
2.295	1.790
2.302	1.742
2.309	1.732
2.316	1.682
2.323	1.662
2.330	1.702
2.337	1.684
2.344	1.657
2.351	1.614
2.358	1.634
2.365	1.636
2.372	1.611
2.379	1.578
2.386	1.619
2.393	1.621
