1.454	4.284
1.691	4.005
1.462	4.000
1.465	3.793
1.466	3.921
1.473	3.713
1.474	3.662
1.478	3.819
1.480	3.662
1.486	3.838
1.493	3.662
1.495	3.819
1.495	3.482
1.502	3.477
1.503	3.495
1.512	3.698
1.512	3.500
1.517	3.698
1.517	3.477
1.523	3.473
1.524	3.631
1.529	3.631
1.533	3.557
1.540	3.557
1.542	3.392
1.546	3.392
1.554	3.419
1.555	3.518
1.562	3.716
1.562	3.520
1.569	3.716
1.569	3.563
1.574	3.518
1.574	3.563
1.577	3.378
1.580	3.518
1.586	3.379
1.589	3.401
1.594	3.509
1.602	3.649
1.608	3.649
1.608	3.721
1.614	3.721
1.618	3.558
1.622	3.559
1.623	3.752
1.631	3.752
1.631	3.684
1.634	3.577
1.640	3.574
1.656	3.640
1.657	3.581
1.657	3.680
1.663	3.680
1.664	3.734
1.668	3.761
1.671	3.779
1.673	3.803
1.680	3.829
1.688	3.923
